mean	var	prob	strat
-0.0133106685582188	0.0000755861673379606	0.0655	1
-0.0125310672045204	0.0000756592593331581	0.0732	0
-0.0144956283429683	0.000200840228090814	0.1176	0
-0.00978412985526343	0.000100468674855615	0.1209	1
-0.00513510369026357	0.000139464018075	0.0665	1
-0.00571057496368405	0.000101264916162401	0.0755	0
-0.00698436568766982	0.00015417414939887	0.1269	0
-0.00172471374103253	0.000176280500694937	0.1492	1
0.00542369224827912	0.00033393747882381	0.1664	1
0.0153273102499135	0.00070724966834545	0.0879	1
0.0124660913184191	0.000568173434857594	0.1937	0
0.000269800733219204	0.000216199711117209	0.0749	1
0.00120443442769682	0.000214902828823855	0.1356	0
-0.00495060564907633	0.000155172952466833	0.076	1
-0.0038235375767687	0.000163058565964769	0.1288	0
-0.00906993782916756	0.0000970825372112742	0.0726	1
-0.0100811114365647	0.0000841948429291403	0.0859	0
-0.0123151239674741	0.000100053527497256	0.0658	1
-0.0118578712149912	0.0000913546763344269	0.081	0
-0.0141670601843151	0.0001113487573157	0.0632	1
-0.0136541076526243	0.0000980661719670273	0.0718	0
-0.0151126519007037	0.000119375054200956	0.0703	0
-0.016373630704556	0.000168449815482528	0.0826	0
-0.0145757274875059	0.000170141928725541	0.1317	0
-0.00915849063503859	0.000211776362052236	0.2343	1
0.00383246503015874	0.000370638332633999	0.0745	0
0.00331111951895784	0.000288696223768935	0.0786	0
0.00517423813159575	0.000350951633008539	0.6179	1
0.0986045001961363	0.00455805543427693	0.6215	0
0.00718833377881266	0.000229570244919715	0.0751	0
0.00619805018133347	0.000159468909953557	0.0819	1
0.00885891698280596	0.000111517161381194	0.0594	0
0.00911004948790484	0.000115790424026202	0.1083	1
0.0146322128953206	0.00023387548987715	0.0889	1
0.0186396168796894	0.000480614725226336	0.2245	0
-0.00062496380495383	0.00055121778398501	0.0688	0
-0.00237977566683148	0.000622975683491314	0.9474	0
-0.192322987616542	0.00217366865088982	0.7307	0
-0.0776300955981049	0.00108262509683779	0.0919	0
-0.0829888281251666	0.0010639916412076	0.8349	1
0.0379079223444608	0.000925532014253224	0.0824	1
0.0421166747303974	0.000757301595901538	0.9439	0
-0.116625517324591	0.000383427984952264	0.0725	0
-0.120284114709888	0.000200423011953998	1	1
0.237790371921302	0.0000400633512798731	0.9994	0
-0.0509665610179559	0.00174350166703096	0.7561	1
0.0656189413186516	0.000922150966055413	0.0833	1
0.0616447718775659	0.000900371838876985	0.5993	0
-0.032485323844669	0.00325659709832535	0.6703	1
0.0898549558778822	0.00161824955308204	0.9695	0
-0.101872391162709	0.000382017497763371	0.0869	0
-0.107287898176286	0.0000834706053302724	0.0576	0
-0.107168406445894	0.00013837344245856	0.983	1
0.0567826703744662	0.000375400482308409	0.0601	1
0.0563261286905178	0.000400467505540296	0.8638	0
-0.099936255374572	0.00284503163134254	0.5237	0
-0.194733927958812	0.00304161840429176	0.4553	0
-0.131488998152772	0.000372100851883172	0.0591	0
-0.131542522414886	0.000312771658608275	1	1
0.192784838328156	0.000121831737803349	0.054	1
0.19191140191883	0.000190649144586851	0.971	0
0.0306010069606277	0.000956064577722522	0.2649	1
0.0638293063676599	0.001696351866281	0.2449	1
0.0397078985579508	0.000262991554816696	0.0694	1
